frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.5007432103157043,0.6882750391960144,-0.18208108842372894,0.5012304782867432,0.6874855756759644,-0.18232780694961548,0.5014744400978088,0.686740517616272,-0.18232117593288422,0.5048494338989258,0.681807279586792,-0.18234559893608093,0.49887555837631226,0.6893781423568726,-0.18349723517894745,0.49852412939071655,0.6895394325256348,-0.183522030711174,0.4962877631187439,0.6832379102706909,-0.183507040143013,0.5082898736000061,0.676516592502594,-0.1528332233428955,0.4957430362701416,0.6789063811302185,-0.15788206458091736,0.5025106072425842,0.6844876408576965,-0.16794902086257935,0.5009008646011353,0.6860491633415222,-0.16965334117412567,0.521966814994812,0.6721623539924622,-0.09794730693101883,0.4893724322319031,0.6737560033798218,-0.10496196895837784,0.5221992135047913,0.697002112865448,-0.043488241732120514,0.48542794585227966,0.6936760544776917,-0.05792628973722458,0.508330225944519,0.7154824733734131,-0.02485012449324131,0.4944334924221039,0.7077502012252808,-0.03664938360452652,0.5077576041221619,0.7193193435668945,-0.03096778132021427,0.49428850412368774,0.7113565802574158,-0.04106934741139412,0.5054035782814026,0.7159700393676758,-0.04026750847697258,0.496858686208725,0.7067431211471558,-0.050021328032016754,0.5030257701873779,0.712066113948822,-0.0284511037170887,0.4978783130645752,0.705215573310852,-0.039199348539114,0.507664680480957,0.6304071545600891,-0.005793959368020296,0.49279290437698364,0.6344048380851746,0.00586136057972908,0.5127332210540771,0.6702145338058472,0.03304019942879677,0.49542149901390076,0.6710094213485718,0.056225668638944626,0.510323703289032,0.6606917381286621,0.14556829631328583,0.5014234185218811,0.6540778875350952,0.1566304713487625,0.5094203948974609,0.6572564244270325,0.15696626901626587,0.5021982789039612,0.6495420932769775,0.1673644334077835,0.5116427540779114,0.6704025268554688,0.15232844650745392,0.5040588974952698,0.6581587791442871,0.16133254766464233
4,0.5009639859199524,0.6843215823173523,-0.21839740872383118,0.5018267631530762,0.6769437789916992,-0.21956273913383484,0.5025715827941895,0.6764095425605774,-0.21955828368663788,0.5047445297241211,0.6747885942459106,-0.21958212554454803,0.49729999899864197,0.6774073839187622,-0.22008302807807922,0.4970252513885498,0.6793564558029175,-0.22010517120361328,0.49565187096595764,0.6788557767868042,-0.22011475265026093,0.508014976978302,0.670487105846405,-0.18619747459888458,0.4921855926513672,0.6746136546134949,-0.18843726813793182,0.5034834742546082,0.6837384104728699,-0.20202748477458954,0.5007449984550476,0.6854698657989502,-0.20293621718883514,0.5214133858680725,0.6724982857704163,-0.12921473383903503,0.4867490231990814,0.6758050918579102,-0.12891556322574615,0.5233334302902222,0.6981163024902344,-0.10373096168041229,0.4850535988807678,0.7028703689575195,-0.11631417274475098,0.5083298683166504,0.7158032655715942,-0.11754938215017319,0.4967483878135681,0.71514493227005,-0.14265039563179016,0.507367730140686,0.7198194861412048,-0.12905362248420715,0.49753260612487793,0.7183071374893188,-0.15503039956092834,0.5049145221710205,0.7163267135620117,-0.13633853197097778,0.49875974655151367,0.7138743996620178,-0.16033950448036194,0.5033730268478394,0.7145540714263916,-0.12078026682138443,0.5000709295272827,0.7121580243110657,-0.14521244168281555,0.5075005292892456,0.6376272439956665,-0.005760286934673786,0.4909760057926178,0.6418465971946716,0.0057981074787676334,0.5116451978683472,0.6690254211425781,0.0711565911769867,0.4937397539615631,0.6662189364433289,0.08388033509254456,0.5078875422477722,0.6575521230697632,0.1989339143037796,0.49854713678359985,0.6539959907531738,0.20526988804340363,0.5071818828582764,0.6539478898048401,0.21192438900470734,0.4997190535068512,0.6500467658042908,0.21830222010612488,0.5084910988807678,0.6654319763183594,0.20807500183582306,0.5009366869926453,0.6581547856330872,0.2147400677204132
5,0.500271201133728,0.6843984127044678,-0.2019919902086258,0.5014435052871704,0.6789774894714355,-0.20307573676109314,0.5025865435600281,0.6787490248680115,-0.2030598223209381,0.5042736530303955,0.6760662198066711,-0.20306937396526337,0.49734148383140564,0.6792876124382019,-0.20401854813098907,0.4966050684452057,0.6811643242835999,-0.2040375918149948,0.49477267265319824,0.6790755987167358,-0.20402869582176208,0.5072194337844849,0.6711885929107666,-0.17418482899665833,0.49227315187454224,0.6748878955841064,-0.17837731540203094,0.5034767389297485,0.6850943565368652,-0.18760551512241364,0.49995332956314087,0.6855488419532776,-0.1890498548746109,0.5213693380355835,0.6712435483932495,-0.11556895822286606,0.4866715967655182,0.6764079928398132,-0.12195310741662979,0.5226526260375977,0.6967966556549072,-0.07094933092594147,0.4851004183292389,0.6979590654373169,-0.11256959289312363,0.5093151330947876,0.70878666639328,-0.0631260946393013,0.4960494041442871,0.7034640312194824,-0.0648394227027893,0.5085199475288391,0.7124342918395996,-0.0709790363907814,0.49679675698280334,0.7054939866065979,-0.07055353373289108,0.5055042505264282,0.7071546912193298,-0.07962805777788162,0.4981703758239746,0.7012999057769775,-0.0816694125533104,0.5048238635063171,0.7065779566764832,-0.06660614162683487,0.4993748664855957,0.7000189423561096,-0.06805829703807831,0.5075734853744507,0.637103259563446,-0.0038890026044100523,0.49029341340065,0.6413241028785706,0.003950608428567648,0.512636125087738,0.6791131496429443,0.0545540526509285,0.4934648871421814,0.6737601161003113,0.07453830540180206,0.5101670026779175,0.6779146194458008,0.17149114608764648,0.5005573630332947,0.672345757484436,0.18650905787944794,0.50977623462677,0.6749852895736694,0.18549507856369019,0.5021919012069702,0.6698004603385925,0.1977270543575287,0.5112875699996948,0.6911996006965637,0.18356600403785706,0.5046921968460083,0.6817658543586731,0.20467081665992737
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.5039272308349609,0.6868727803230286,-0.16881458461284637,0.5017361640930176,0.688727855682373,-0.1690283864736557,0.5010572075843811,0.6880101561546326,-0.16903157532215118,0.5003730058670044,0.6873429417610168,-0.16905713081359863,0.5035383701324463,0.6914785504341125,-0.1691587269306183,0.5039681196212769,0.6923959851264954,-0.16917142271995544,0.5043965578079224,0.6933249235153198,-0.16915124654769897,0.4974864423274994,0.6875798106193542,-0.14481404423713684,0.5034388899803162,0.6966738104820251,-0.14547672867774963,0.5022287368774414,0.6849531531333923,-0.1569281667470932,0.5052903890609741,0.6859151721000671,-0.15719594061374664,0.49096909165382385,0.678226888179779,-0.11274750530719757,0.5056779980659485,0.702972948551178,-0.10957535356283188,0.4978063106536865,0.647558867931366,-0.13411542773246765,0.5212960243225098,0.688288152217865,-0.1286693513393402,0.5127137303352356,0.6526687145233154,-0.17336487770080566,0.5196593403816223,0.6658794283866882,-0.16829687356948853,0.5168579816818237,0.6519981622695923,-0.18794700503349304,0.5203614234924316,0.6598464250564575,-0.18092109262943268,0.5164332389831543,0.6572936177253723,-0.18892769515514374,0.517687201499939,0.6618189215660095,-0.1831808090209961,0.515312910079956,0.6574690341949463,-0.1751641184091568,0.5173594355583191,0.6629761457443237,-0.17004908621311188,0.48142361640930176,0.7094155550003052,-0.005471225827932358,0.48982781171798706,0.7209963202476501,0.005466254893690348,0.4824402928352356,0.6991726160049438,0.04465234652161598,0.4896143078804016,0.7200856804847717,0.05551053211092949,0.47876349091529846,0.7017609477043152,0.12392164766788483,0.4869161546230316,0.7220904231071472,0.14196792244911194,0.47734561562538147,0.7039844989776611,0.1314927190542221,0.48576807975769043,0.7233887314796448,0.1510237604379654,0.4809287190437317,0.697784960269928,0.12914568185806274,0.4865008294582367,0.7188300490379333,0.15256544947624207
8,0.5038463473320007,0.6874240636825562,-0.1689337193965912,0.501697838306427,0.6898462176322937,-0.1690293252468109,0.5010390281677246,0.68940669298172,-0.16903193295001984,0.500368595123291,0.6890431642532349,-0.16905729472637177,0.5034889578819275,0.6920529007911682,-0.16828182339668274,0.5039178729057312,0.6928279995918274,-0.16829220950603485,0.5043456554412842,0.6936235427856445,-0.1682635247707367,0.4975281357765198,0.6892232298851013,-0.14376403391361237,0.5034297704696655,0.696708619594574,-0.13718603551387787,0.5021798610687256,0.6853846907615662,-0.15692773461341858,0.504419207572937,0.6867746114730835,-0.15580077469348907,0.49040326476097107,0.680327832698822,-0.11737052351236343,0.5057567358016968,0.7007321119308472,-0.09810681641101837,0.487529993057251,0.6460103988647461,-0.15361705422401428,0.521367609500885,0.6881159543991089,-0.12584052979946136,0.4994027614593506,0.6439241170883179,-0.19649429619312286,0.5195676684379578,0.6601871848106384,-0.16829606890678406,0.5034548044204712,0.6425358057022095,-0.21091768145561218,0.5203505754470825,0.65227210521698,-0.178071528673172,0.5037398338317871,0.6463416218757629,-0.20577947795391083,0.5177286863327026,0.6539169549942017,-0.18014264106750488,0.5026429295539856,0.6465191841125488,-0.19562113285064697,0.517376184463501,0.6554802656173706,-0.16992412507534027,0.4792417883872986,0.713830828666687,-0.010821572504937649,0.48710504174232483,0.7238438129425049,0.010781874880194664,0.46724358201026917,0.7239014506340027,0.020409220829606056,0.47088736295700073,0.7549183368682861,0.04532211273908615,0.45781707763671875,0.7504613399505615,0.0721365362405777,0.45694810152053833,0.789290189743042,0.0913991928100586,0.4575165808200836,0.7567974328994751,0.07689864933490753,0.455064594745636,0.7951444983482361,0.09590722620487213,0.4534563422203064,0.7541037797927856,0.07622727751731873,0.45012831687927246,0.7952072024345398,0.08975772559642792
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
